run,time,url,error
2022-02-26T15:21:11.457890,2022-02-26T15:21:12.364614,http://dergkino.gov.ua,"HTTPConnectionPool(host='dergkino.gov.ua', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff37cab63a0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution'))"
2022-02-26T15:21:11.457890,2022-02-26T15:21:14.161755,http://lepetykha-rda.gov.ua,"HTTPConnectionPool(host='lepetykha-rda.gov.ua', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff37ca12700>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
2022-02-26T15:21:11.457890,2022-02-26T15:21:50.225292,http://germany.mfa.gov.ua,"HTTPConnectionPool(host='germany.mfa.gov.ua', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7ff37caa6730>, 'Connection to germany.mfa.gov.ua timed out. (connect timeout=30)'))"
2022-02-26T15:21:11.457890,2022-02-26T15:23:46.998903,http://tav.gov.ua,"HTTPSConnectionPool(host='tav.gov.ua', port=443): Read timed out. (read timeout=30)"
2022-02-26T15:21:11.457890,2022-02-26T15:22:34.051904,http://ktvs.gov.ua,"HTTPConnectionPool(host='ktvs.gov.ua', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff37cadc1f0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution'))"
2022-02-26T15:21:11.457890,2022-02-26T15:21:12.725701,http://www.velberez.gov.ua,"HTTPConnectionPool(host='www.velberez.gov.ua', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff37cab4670>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution'))"
2022-02-26T15:21:11.457890,2022-02-26T15:21:43.096046,http://data.gov.ua,"HTTPConnectionPool(host='data.gov.ua', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7ff37cab3040>, 'Connection to data.gov.ua timed out. (connect timeout=30)'))"
2022-02-26T15:21:11.457890,2022-02-26T15:21:53.458805,http://sfd.archives.gov.ua,"HTTPConnectionPool(host='sfd.archives.gov.ua', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff37cad2c70>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution'))"
2022-02-26T15:21:11.457890,2022-02-26T15:21:53.985451,https://spending.gov.ua,"HTTPSConnectionPool(host='spending.gov.ua', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7ff37cad2970>: Failed to establish a new connection: [Errno 111] Connection refused'))"
2022-02-26T15:21:11.457890,2022-02-26T15:22:30.354602,http://ngu.gov.ua,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
2022-02-26T15:21:11.457890,2022-02-26T15:21:42.492307,https://www.drv.gov.ua,"HTTPSConnectionPool(host='www.drv.gov.ua', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x7ff37cab0190>, 'Connection to www.drv.gov.ua timed out. (connect timeout=30)'))"
2022-02-26T15:21:11.457890,2022-02-26T15:21:45.953693,http://lubar-rayrada.zt.gov.ua,"HTTPConnectionPool(host='lubar-rayrada.zt.gov.ua', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff37cad28b0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
2022-02-26T15:21:11.457890,2022-02-26T15:21:46.152185,http://baturin-capital.gov.ua,"HTTPSConnectionPool(host='baturin-capital.gov.ua', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(""bad handshake: Error([('SSL routines', 'tls_process_server_certificate', 'certificate verify failed')])"")))"
2022-02-26T15:21:11.457890,2022-02-26T15:21:42.274078,http://vmr.gov.ua,"HTTPSConnectionPool(host='vmr.gov.ua', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x7ff37cad2370>, 'Connection to vmr.gov.ua timed out. (connect timeout=30)'))"
2022-02-26T15:21:11.457890,2022-02-26T15:21:44.072113,http://www.odessa.gov.ua,"HTTPConnectionPool(host='www.odessa.gov.ua', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff37cad2670>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
2022-02-26T15:21:11.457890,2022-02-26T15:21:17.290773,http://vrda.gov.ua,"HTTPConnectionPool(host='vrda.gov.ua', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff37cab06d0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution'))"
2022-02-26T15:21:11.457890,2022-02-26T15:22:50.128952,https://shev.kyivcity.gov.ua,"HTTPSConnectionPool(host='shev.kyivcity.gov.ua', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x7ff37cabb3a0>, 'Connection to shev.kyivcity.gov.ua timed out. (connect timeout=30)'))"
2022-02-26T15:21:11.457890,2022-02-26T15:22:15.589583,https://cherkassyrda.gov.ua,"HTTPSConnectionPool(host='cherkassyrda.gov.ua', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x7ff37ca18340>, 'Connection to cherkassyrda.gov.ua timed out. (connect timeout=30)'))"
2022-02-26T15:21:11.457890,2022-02-26T15:21:41.754915,http://gadyach.adm-pl.gov.ua,"HTTPConnectionPool(host='gadyach.adm-pl.gov.ua', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7ff37cabb2e0>, 'Connection to gadyach.adm-pl.gov.ua timed out. (connect timeout=30)'))"
2022-02-26T15:21:11.457890,2022-02-26T15:22:21.012102,http://www.kmu.gov.ua,"HTTPSConnectionPool(host='www.kmu.gov.ua', port=443): Read timed out. (read timeout=30)"
